Date,open,high,low,close,volume,vwap,transactions,otc
2025-06-02,587.76,592.79,585.06,592.71,61630502.0,589.9925,728812,
2025-06-03,592.34,597.08,591.85,596.09,63606204.0,595.0725,690792,
2025-06-04,596.96,597.95,595.49,595.93,57314199.0,596.8589,629200,
2025-06-05,597.63,599.0,591.05,593.05,92436397.0,595.1416,944088,
2025-06-06,598.66,600.83,596.86,599.14,66588743.0,599.078,768591,
2025-06-09,599.72,601.25,598.49,599.68,53016418.0,599.9965,637329,
2025-06-10,600.22,603.47,599.09,603.08,66246973.0,601.7272,674474,
2025-06-11,604.19,605.06,599.27,601.36,73658225.0,602.4555,808639,
2025-06-12,600.01,603.75,599.52,603.75,64129003.0,602.495,689902,
2025-06-13,598.5,601.85,595.48,597.0,89505996.0,598.3869,980649,
2025-06-16,600.4,604.45,600.22,602.68,79984125.0,602.39,775607,
2025-06-17,600.21,601.75,596.76,597.53,82209365.0,599.0958,827346,
2025-06-18,598.44,601.22,596.47,597.44,76605029.0,598.6557,711298,
2025-06-20,598.38,599.46,592.86,594.28,94051374.0,595.4982,825556,
2025-06-23,595.04,600.54,591.89,600.15,87426039.0,597.1593,920372,
2025-06-24,604.33,607.8499,603.41,606.78,67735293.0,605.9159,682502,
2025-06-25,607.91,608.61,605.54,607.12,62114767.0,607.1031,645731,
2025-06-26,608.99,612.31,608.37,611.87,78548361.0,610.4559,630338,
2025-06-27,612.88,616.39,610.83,614.91,86258398.0,613.9506,806398,
2025-06-30,617.38,619.22,615.04,617.85,92502541.0,617.0305,858415,
2025-07-01,616.36,618.83,615.52,617.65,70030140.0,617.4604,746886,
2025-07-02,617.24,620.49,616.61,620.45,66510374.0,619.1415,679099,
2025-07-03,622.45,626.28,622.43,625.34,51065789.0,624.664,484826,
2025-07-07,623.36,624.03,617.87,620.68,74814505.0,620.9041,863317,
2025-07-08,621.35,622.11,619.52,620.34,59024585.0,620.6899,675760,
2025-07-09,622.77,624.72,620.9105,624.06,66113326.0,622.9322,735000,
2025-07-10,624.2,626.8701,623.01,625.82,57528960.0,625.3119,648820,
2025-07-11,622.74,624.86,621.53,623.62,63670226.0,623.8384,748955,
2025-07-14,623.16,625.1581,621.7999,624.81,51898518.0,623.957,626509,
2025-07-15,627.52,627.86,622.06,622.14,74317260.0,624.3339,828422,
2025-07-16,623.74,624.73,618.05,624.22,88987511.0,622.2168,961974,
2025-07-17,624.4,628.4048,624.18,628.04,68885683.0,626.8168,687866,
2025-07-18,629.3,629.47,626.46,627.58,65621645.0,627.7962,594585,
2025-07-21,628.77,631.54,628.34,628.77,63374984.0,629.9506,709907,
2025-07-22,629.1,629.73,626.19,628.86,60046288.0,628.3045,763949,
2025-07-23,631.55,634.21,629.73,634.21,70511036.0,631.9947,765760,
2025-07-24,634.6,636.15,633.99,634.42,71307134.0,634.9893,764249,
2025-07-25,635.09,637.5799,634.84,637.1,56865364.0,636.4027,594273,
